Date_Time,Organization,Name,Group_,Group_Type,TimeZone,timezone-description,Electricity_Consumed,Unit,value,period
2021-07-21,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,27712,megawatthours,27712,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,27844,megawatthours,27844,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,27914,megawatthours,27914,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,17173,megawatthours,17173,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,17022,megawatthours,17022,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,16909,megawatthours,16909,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,17158,megawatthours,17158,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,17173,megawatthours,17173,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,1869,megawatthours,1869,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,1798,megawatthours,1798,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,1731,megawatthours,1731,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,1893,megawatthours,1893,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,1869,megawatthours,1869,2021-07-21
2021-07-20,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,13745,megawatthours,13745,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,13727,megawatthours,13727,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,13717,megawatthours,13717,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,13738,megawatthours,13738,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,13745,megawatthours,13745,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,27236,megawatthours,27236,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,27270,megawatthours,27270,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,27272,megawatthours,27272,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,27250,megawatthours,27250,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,27236,megawatthours,27236,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,13619,megawatthours,13619,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,13698,megawatthours,13698,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,13779,megawatthours,13779,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,13591,megawatthours,13591,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,13619,megawatthours,13619,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,-126,megawatthours,-126,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,-29,megawatthours,-29,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,62,megawatthours,62,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,-147,megawatthours,-147,2021-07-20
2021-07-20,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,-126,megawatthours,-126,2021-07-20
2021-07-19,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,14171,megawatthours,14171,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,14175,megawatthours,14175,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,14173,megawatthours,14173,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,14173,megawatthours,14173,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,14171,megawatthours,14171,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,27940,megawatthours,27940,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,28053,megawatthours,28053,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,28099,megawatthours,28099,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,27995,megawatthours,27995,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,27940,megawatthours,27940,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,13869,megawatthours,13869,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,13664,megawatthours,13664,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,13603,megawatthours,13603,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,13812,megawatthours,13812,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,13869,megawatthours,13869,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,-301,megawatthours,-301,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,-510,megawatthours,-510,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,-569,megawatthours,-569,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,-360,megawatthours,-360,2021-07-19
2021-07-19,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,-301,megawatthours,-301,2021-07-19
2021-07-18,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,14099,megawatthours,14099,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,14113,megawatthours,14113,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,14133,megawatthours,14133,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,14101,megawatthours,14101,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,14099,megawatthours,14099,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,29108,megawatthours,29108,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,29129,megawatthours,29129,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,29210,megawatthours,29210,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,29112,megawatthours,29112,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,29108,megawatthours,29108,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,13159,megawatthours,13159,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,13251,megawatthours,13251,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,13336,megawatthours,13336,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,13167,megawatthours,13167,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,13159,megawatthours,13159,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,-940,megawatthours,-940,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,-862,megawatthours,-862,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,-797,megawatthours,-797,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,-934,megawatthours,-934,2021-07-18
2021-07-18,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,-940,megawatthours,-940,2021-07-18
2021-07-17,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,14956,megawatthours,14956,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,14987,megawatthours,14987,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,14997,megawatthours,14997,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,14969,megawatthours,14969,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,14956,megawatthours,14956,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,30588,megawatthours,30588,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,30646,megawatthours,30646,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,30651,megawatthours,30651,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,30616,megawatthours,30616,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,30588,megawatthours,30588,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,15838,megawatthours,15838,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,16086,megawatthours,16086,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,16105,megawatthours,16105,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,15972,megawatthours,15972,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,15838,megawatthours,15838,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,882,megawatthours,882,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,1099,megawatthours,1099,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,1108,megawatthours,1108,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,1003,megawatthours,1003,2021-07-17
2021-07-17,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,882,megawatthours,882,2021-07-17
2021-07-16,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,15025,megawatthours,15025,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,14992,megawatthours,14992,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,14964,megawatthours,14964,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,15012,megawatthours,15012,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,15025,megawatthours,15025,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,30764,megawatthours,30764,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,30800,megawatthours,30800,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,30792,megawatthours,30792,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,30786,megawatthours,30786,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,30764,megawatthours,30764,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,16207,megawatthours,16207,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,16196,megawatthours,16196,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,16191,megawatthours,16191,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,16200,megawatthours,16200,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,16207,megawatthours,16207,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,1182,megawatthours,1182,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,1204,megawatthours,1204,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,1227,megawatthours,1227,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,1188,megawatthours,1188,2021-07-16
2021-07-16,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,1182,megawatthours,1182,2021-07-16
2021-07-15,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,15320,megawatthours,15320,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,15398,megawatthours,15398,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,15447,megawatthours,15447,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,15373,megawatthours,15373,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,15320,megawatthours,15320,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,31125,megawatthours,31125,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,31123,megawatthours,31123,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,31114,megawatthours,31114,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,31118,megawatthours,31118,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,31125,megawatthours,31125,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,16141,megawatthours,16141,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,15940,megawatthours,15940,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,15917,megawatthours,15917,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,16033,megawatthours,16033,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,16141,megawatthours,16141,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,821,megawatthours,821,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,542,megawatthours,542,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,470,megawatthours,470,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,660,megawatthours,660,2021-07-15
2021-07-15,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,821,megawatthours,821,2021-07-15
2021-07-14,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,16068,megawatthours,16068,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,16019,megawatthours,16019,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,15990,megawatthours,15990,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,16038,megawatthours,16038,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,16068,megawatthours,16068,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,30465,megawatthours,30465,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,30296,megawatthours,30296,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,30256,megawatthours,30256,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,30383,megawatthours,30383,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,30465,megawatthours,30465,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,16226,megawatthours,16226,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,16289,megawatthours,16289,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,16299,megawatthours,16299,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,16248,megawatthours,16248,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,16226,megawatthours,16226,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,235,megawatthours,235,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,362,megawatthours,362,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,401,megawatthours,401,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,302,megawatthours,302,2021-07-14
2021-07-14,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,235,megawatthours,235,2021-07-14
2021-07-13,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,14600,megawatthours,14600,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,14525,megawatthours,14525,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,14456,megawatthours,14456,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,14582,megawatthours,14582,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,14600,megawatthours,14600,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,29441,megawatthours,29441,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,29425,megawatthours,29425,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,29428,megawatthours,29428,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,29438,megawatthours,29438,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,29441,megawatthours,29441,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,14190,megawatthours,14190,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,14043,megawatthours,14043,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,13894,megawatthours,13894,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,14185,megawatthours,14185,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,14190,megawatthours,14190,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,-374,megawatthours,-374,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,-451,megawatthours,-451,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,-531,megawatthours,-531,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,-366,megawatthours,-366,2021-07-13
2021-07-13,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,-374,megawatthours,-374,2021-07-13
2021-07-12,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,13378,megawatthours,13378,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,13328,megawatthours,13328,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,13332,megawatthours,13332,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,13326,megawatthours,13326,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,13378,megawatthours,13378,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,29605,megawatthours,29605,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,29712,megawatthours,29712,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,29727,megawatthours,29727,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,29655,megawatthours,29655,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,29605,megawatthours,29605,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,13425,megawatthours,13425,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,13400,megawatthours,13400,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,13375,megawatthours,13375,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,13419,megawatthours,13419,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,13425,megawatthours,13425,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,57,megawatthours,57,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,72,megawatthours,72,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,43,megawatthours,43,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,93,megawatthours,93,2021-07-12
2021-07-12,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,57,megawatthours,57,2021-07-12
2021-07-11,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,13749,megawatthours,13749,2021-07-11
2021-07-11,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,13820,megawatthours,13820,2021-07-11
2021-07-11,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,13841,megawatthours,13841,2021-07-11
2021-07-11,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,13797,megawatthours,13797,2021-07-11
